mood,time_of_day,hunger_level,sentiment,snack,snack_group,snack_type,snack_texture
content,morning,0.41330871301681144,0.2,cheese,healthy_light,light,soft
tired,midnight,0.5064811658186144,-0.32,granola bar,healthy_light,light,crisp
nostalgic,midnight,0.32360650169775207,0.78,ice cream,nigerian_sweet,sweet,soft
content,midnight,0.485143247727672,0.2,boli,nigerian_savory,savory,soft
happy,midnight,0.24429108827551477,0.2,akara,nigerian_fried,savory,soft
stressed,midnight,0.18979926999744007,-0.35,candy,nigerian_sweet,sweet,chewy
content,morning,0.24644863348191137,0.2,granola bar,healthy_light,light,crisp
bored,afternoon,0.7784084438019565,-0.21,crackers,savory_snacks,savory,crisp
content,afternoon,0.5160826896244519,0.34,yogurt,healthy_light,light,soft
excited,midnight,0.019452773145163072,0.29,akara,nigerian_fried,savory,soft
hungry,morning,1.0,0.3,roasted groundnuts,nigerian_savory,savory,crisp
bored,afternoon,0.7733238552349357,0.3,popcorn,savory_snacks,savory,crisp
sad,evening,0.21477988551212546,-0.1,chocolate,nigerian_sweet,sweet,soft
content,evening,0.456048936071492,0.2,cheese,healthy_light,light,soft
happy,evening,0.236232470735151,0.2,coconut candy,nigerian_sweet,sweet,chewy
anxious,evening,0.2348734754115947,-0.1,kokoro,savory_snacks,savory,crisp
nostalgic,afternoon,0.0041478902191894205,0.26,chin chin,nigerian_fried,sweet,crisp
sad,afternoon,0.712004273454053,-0.32,coconut candy,nigerian_sweet,sweet,chewy
tired,afternoon,0.2625221339797856,-0.69,cheese,healthy_light,light,soft
nostalgic,morning,0.029878550999371534,0.65,coconut candy,nigerian_sweet,sweet,chewy
excited,morning,0.2172343326557935,0.93,akara,nigerian_fried,savory,soft
stressed,afternoon,0.43250809728808526,-0.1,ice cream,nigerian_sweet,sweet,soft
excited,afternoon,0.03285401341430063,0.2,akara,nigerian_fried,savory,soft
bored,afternoon,0.7701187317423401,0.3,popcorn,savory_snacks,savory,crisp
stressed,morning,0.35388178378488355,-0.52,kuli kuli,nigerian_savory,spicy,crisp
nostalgic,morning,0.7638922245305553,0.48,candy,nigerian_sweet,sweet,chewy
sad,midnight,0.45282976839526107,-0.68,chocolate,nigerian_sweet,sweet,soft
happy,evening,0.03258304185517611,0.71,chocolate,nigerian_sweet,sweet,soft
happy,midnight,0.6455303816406236,0.2,puff puff,nigerian_fried,sweet,soft
happy,afternoon,0.5080749206941151,0.2,puff puff,nigerian_fried,sweet,soft
excited,morning,0.43150195872005004,0.37,akara,nigerian_fried,savory,soft
nostalgic,midnight,0.46862046501877064,0.88,chocolate,nigerian_sweet,sweet,soft
tired,morning,0.6489633413888024,-0.1,cheese,healthy_light,light,soft
anxious,evening,0.15663290783143716,-0.86,suya,nigerian_savory,spicy,chewy
happy,evening,0.2692433719109812,0.31,akara,nigerian_fried,savory,soft
bored,evening,0.22548381981871995,-0.3,crackers,savory_snacks,savory,crisp
nostalgic,midnight,0.33435682537246303,0.94,chocolate,nigerian_sweet,sweet,soft
tired,evening,0.7924041136005386,-0.17,granola bar,healthy_light,light,crisp
bored,afternoon,0.4494933537150189,-0.3,kokoro,savory_snacks,savory,crisp
stressed,afternoon,0.7220423253436534,-0.1,popcorn,savory_snacks,savory,crisp
nostalgic,morning,0.042788237397895126,0.92,chocolate,nigerian_sweet,sweet,soft
hungry,evening,1.0,0.3,boli,nigerian_savory,savory,soft
sad,evening,0.4819527407208952,-0.1,ice cream,nigerian_sweet,sweet,soft
content,evening,0.0729648824389523,0.2,puff puff,nigerian_fried,sweet,soft
sad,evening,0.43673261613199116,-0.1,granola bar,healthy_light,light,crisp
content,morning,0.0808981408982322,0.2,fruit,healthy_light,light,soft
content,afternoon,0.1172838573536204,0.2,candy,nigerian_sweet,sweet,chewy
nostalgic,afternoon,0.6502396538060021,0.89,granola bar,healthy_light,light,crisp
sad,evening,0.3853335903712923,-0.24,dodo ikire,nigerian_sweet,sweet,soft
bored,afternoon,0.3941000834326873,-0.3,chips,savory_snacks,savory,crisp
happy,morning,0.6582322815013546,0.49,chin chin,nigerian_fried,sweet,crisp
sad,midnight,0.2285696690254886,-0.1,ice cream,nigerian_sweet,sweet,soft
happy,midnight,0.44480403091406767,0.2,akara,nigerian_fried,savory,soft
nostalgic,midnight,0.44308342752105667,0.94,candy,nigerian_sweet,sweet,chewy
anxious,evening,0.7966651000234966,-0.1,kokoro,savory_snacks,savory,crisp
nostalgic,afternoon,0.760329187261247,0.78,candy,nigerian_sweet,sweet,chewy
bored,midnight,0.5174786893349791,-0.22,popcorn,savory_snacks,savory,crisp
sad,midnight,0.7889685955836824,-0.1,dodo ikire,nigerian_sweet,sweet,soft
content,midnight,0.2167661140121039,0.2,roasted groundnuts,nigerian_savory,savory,crisp
sad,morning,0.4907321567486319,-0.16,cheese,healthy_light,light,soft
happy,evening,0.3290040932682953,0.56,akara,nigerian_fried,savory,soft
sad,afternoon,0.3047126853048172,-0.1,cheese,healthy_light,light,soft
excited,evening,0.10708169504050656,0.2,akara,nigerian_fried,savory,soft
excited,morning,0.7973094696591243,0.2,roasted groundnuts,nigerian_savory,savory,crisp
content,morning,0.1928678658637055,0.2,dodo ikire,nigerian_sweet,sweet,soft
stressed,morning,0.5373605475246854,-0.1,coconut candy,nigerian_sweet,sweet,chewy
anxious,afternoon,0.3809685574312114,-0.1,kokoro,savory_snacks,savory,crisp
hungry,afternoon,1.0,0.3,kuli kuli,nigerian_savory,spicy,crisp
happy,evening,0.6277346111554477,0.28,ice cream,nigerian_sweet,sweet,soft
tired,afternoon,0.2804700470452776,-0.1,veggies,healthy_light,light,crisp
nostalgic,midnight,0.43795704551928927,0.2,yogurt,healthy_light,light,soft
excited,morning,0.7596164989261137,0.2,chocolate,nigerian_sweet,sweet,soft
bored,midnight,0.036689013123706364,0.24,popcorn,savory_snacks,savory,crisp
tired,evening,0.06069066248693114,-0.74,coconut candy,nigerian_sweet,sweet,chewy
happy,midnight,0.14405381787943883,0.39,akara,nigerian_fried,savory,soft
excited,midnight,0.13785589696130388,0.2,chin chin,nigerian_fried,sweet,crisp
bored,morning,0.025443745188132107,0.1,popcorn,savory_snacks,savory,crisp
nostalgic,morning,0.4027338166838855,0.38,akara,nigerian_fried,savory,soft
tired,evening,0.409325610837809,-0.69,fruit,healthy_light,light,soft
nostalgic,midnight,0.5986077523069268,0.2,chocolate,nigerian_sweet,sweet,soft
excited,afternoon,0.6079643271500685,0.2,suya,nigerian_savory,spicy,chewy
happy,evening,0.570679668707642,0.79,puff puff,nigerian_fried,sweet,soft
happy,afternoon,0.28331733663450037,0.2,akara,nigerian_fried,savory,soft
stressed,evening,0.25766333246654266,-0.58,coconut candy,nigerian_sweet,sweet,chewy
nostalgic,midnight,0.37917595314444497,0.2,chocolate,nigerian_sweet,sweet,soft
tired,afternoon,0.4694728944167033,-0.1,fruit,healthy_light,light,soft
bored,afternoon,0.7197179177160099,0.22,pretzels,savory_snacks,savory,crisp
bored,morning,0.1897814333887956,-0.3,kuli kuli,nigerian_savory,spicy,crisp
stressed,evening,0.0703100996321151,-0.1,roasted groundnuts,nigerian_savory,savory,crisp
happy,evening,0.32831746159172925,0.96,puff puff,nigerian_fried,sweet,soft
hungry,midnight,1.0,-0.3,pretzels,savory_snacks,savory,crisp
anxious,afternoon,0.7435007913020687,-0.1,popcorn,savory_snacks,savory,crisp
content,afternoon,0.7743952532033874,0.42,kilishi,nigerian_savory,spicy,chewy
excited,morning,0.4884960339533061,0.2,chin chin,nigerian_fried,sweet,crisp
excited,evening,0.47510647804631906,0.2,puff puff,nigerian_fried,sweet,soft
excited,afternoon,0.2578830759797784,0.62,akara,nigerian_fried,savory,soft
content,evening,0.3785329608415138,0.21,fruit,healthy_light,light,soft
nostalgic,midnight,0.7720215285332102,0.2,ice cream,nigerian_sweet,sweet,soft
stressed,evening,0.741159538871769,-0.1,kilishi,nigerian_savory,spicy,chewy
content,morning,0.16130185603819563,0.2,akara,nigerian_fried,savory,soft
anxious,afternoon,0.7262929043700128,-0.37,crackers,savory_snacks,savory,crisp
excited,midnight,0.3015555435399261,0.2,akara,nigerian_fried,savory,soft
excited,morning,0.2842899614547167,0.2,chin chin,nigerian_fried,sweet,crisp
stressed,evening,0.09351843256669126,-0.1,chocolate,nigerian_sweet,sweet,soft
happy,evening,0.7029032922987506,0.2,candy,nigerian_sweet,sweet,chewy
hungry,morning,1.0,-0.3,kilishi,nigerian_savory,spicy,chewy
happy,afternoon,0.5712512657788914,0.2,coconut candy,nigerian_sweet,sweet,chewy
excited,evening,0.6771618333876146,0.2,akara,nigerian_fried,savory,soft
happy,evening,0.3271641416683946,0.54,puff puff,nigerian_fried,sweet,soft
tired,afternoon,0.20143924712556222,-0.31,ice cream,nigerian_sweet,sweet,soft
tired,midnight,0.33887748993638633,-0.42,cheese,healthy_light,light,soft
happy,afternoon,0.4891633883477183,0.2,ice cream,nigerian_sweet,sweet,soft
tired,midnight,0.6320677096992694,-0.95,granola bar,healthy_light,light,crisp
sad,morning,0.3393045370419088,-0.1,cheese,healthy_light,light,soft
excited,afternoon,0.18872482767606497,0.2,akara,nigerian_fried,savory,soft
bored,afternoon,0.4150704457008577,0.18,chips,savory_snacks,savory,crisp
bored,midnight,0.6302319109715939,0.21,plantain chips,nigerian_savory,savory,crisp
nostalgic,afternoon,0.27707679549276903,0.2,chocolate,nigerian_sweet,sweet,soft
stressed,midnight,0.7301995703033031,-0.5,coconut candy,nigerian_sweet,sweet,chewy
happy,morning,0.2899151192933065,0.2,chin chin,nigerian_fried,sweet,crisp
anxious,evening,0.7804330525462051,-0.1,kokoro,savory_snacks,savory,crisp
excited,midnight,0.4017560082649941,0.2,akara,nigerian_fried,savory,soft
stressed,evening,0.27950959923946644,-0.1,chocolate,nigerian_sweet,sweet,soft
content,evening,0.05256691154268189,0.55,veggies,healthy_light,light,crisp
sad,afternoon,0.39760955905699924,-0.1,plantain chips,nigerian_savory,savory,crisp
happy,evening,0.29864745302380236,0.2,puff puff,nigerian_fried,sweet,soft
happy,midnight,0.6718310875652564,0.73,puff puff,nigerian_fried,sweet,soft
bored,evening,0.5375141948789828,-0.3,kilishi,nigerian_savory,spicy,chewy
stressed,morning,0.4453772678266929,-0.1,kokoro,savory_snacks,savory,crisp
tired,afternoon,0.6641758916535934,-0.21,yogurt,healthy_light,light,soft
bored,midnight,0.06954001196027947,0.27,kokoro,savory_snacks,savory,crisp
happy,evening,0.46643324877575376,0.2,kokoro,savory_snacks,savory,crisp
bored,afternoon,0.6600858651381278,-0.27,kilishi,nigerian_savory,spicy,chewy
bored,midnight,0.44163774468158423,-0.13,kokoro,savory_snacks,savory,crisp
content,midnight,0.09139034073631747,0.2,veggies,healthy_light,light,crisp
stressed,afternoon,0.017975446656093918,-0.46,candy,nigerian_sweet,sweet,chewy
bored,afternoon,0.5160433342154636,-0.16,roasted groundnuts,nigerian_savory,savory,crisp
anxious,morning,0.014712541237973387,-0.1,boli,nigerian_savory,savory,soft
bored,morning,0.324198470422151,-0.01,chips,savory_snacks,savory,crisp
happy,evening,0.7200149134784841,0.75,puff puff,nigerian_fried,sweet,soft
anxious,evening,0.45863550254352053,-0.1,kokoro,savory_snacks,savory,crisp
sad,afternoon,0.13302669500486353,-0.1,puff puff,nigerian_fried,sweet,soft
stressed,morning,0.6696631925624236,-0.13,crackers,savory_snacks,savory,crisp
tired,afternoon,0.38084032175927973,-0.1,granola bar,healthy_light,light,crisp
stressed,midnight,0.43187422312655477,-0.68,kokoro,savory_snacks,savory,crisp
hungry,evening,1.0,-0.3,suya,nigerian_savory,spicy,chewy
happy,morning,0.33023484048540186,0.41,puff puff,nigerian_fried,sweet,soft
happy,afternoon,0.6395327031751834,0.39,puff puff,nigerian_fried,sweet,soft
sad,midnight,0.645944201453409,-0.1,cookies,nigerian_sweet,sweet,crisp
excited,midnight,0.4335207579026865,0.75,kilishi,nigerian_savory,spicy,chewy
anxious,afternoon,0.5097852638315895,-0.1,granola bar,healthy_light,light,crisp
anxious,morning,0.7552474717492906,-0.92,kokoro,savory_snacks,savory,crisp
stressed,morning,0.37856809446506673,-0.37,cookies,nigerian_sweet,sweet,crisp
stressed,midnight,0.7768465961322942,-0.1,ice cream,nigerian_sweet,sweet,soft
content,afternoon,0.4179476608569352,0.29,yogurt,healthy_light,light,soft
tired,morning,0.061562561303367326,-0.1,granola bar,healthy_light,light,crisp
happy,evening,0.6431815835207182,0.2,akara,nigerian_fried,savory,soft
excited,morning,0.49269055054584365,0.2,akara,nigerian_fried,savory,soft
happy,evening,0.14837832766137798,0.2,fruit,healthy_light,light,soft
happy,morning,0.6137506311449016,0.2,puff puff,nigerian_fried,sweet,soft
nostalgic,evening,0.3186299071805085,0.2,candy,nigerian_sweet,sweet,chewy
anxious,morning,0.08837929050511573,-0.29,popcorn,savory_snacks,savory,crisp
stressed,morning,0.22181251655741888,-0.1,suya,nigerian_savory,spicy,chewy
sad,midnight,0.17460311029205133,-0.1,coconut candy,nigerian_sweet,sweet,chewy
sad,midnight,0.7073591825052024,-0.1,cheese,healthy_light,light,soft
anxious,midnight,0.18533736110675472,-0.1,crackers,savory_snacks,savory,crisp
excited,afternoon,0.037556285718250405,0.2,akara,nigerian_fried,savory,soft
content,morning,0.0462741412507171,0.94,cheese,healthy_light,light,soft
hungry,morning,1.0,-0.3,plantain chips,nigerian_savory,savory,crisp
hungry,evening,1.0,0.3,suya,nigerian_savory,spicy,chewy
excited,morning,0.715937152982272,0.72,puff puff,nigerian_fried,sweet,soft
bored,morning,0.7109984638951818,0.3,kokoro,savory_snacks,savory,crisp
anxious,morning,0.5881701236187622,-0.44,chips,savory_snacks,savory,crisp
anxious,midnight,0.39670058806301667,-0.84,crackers,savory_snacks,savory,crisp
happy,morning,0.04921362099138804,0.77,akara,nigerian_fried,savory,soft
tired,midnight,0.5424129220472509,-0.1,kokoro,savory_snacks,savory,crisp
content,midnight,0.19622842580426766,0.2,kuli kuli,nigerian_savory,spicy,crisp
stressed,morning,0.5441126174082404,-0.1,coconut candy,nigerian_sweet,sweet,chewy
nostalgic,afternoon,0.3723760070159869,0.76,akara,nigerian_fried,savory,soft
stressed,evening,0.12860791683864656,-0.1,pretzels,savory_snacks,savory,crisp
happy,midnight,0.06727857957438772,0.2,chin chin,nigerian_fried,sweet,crisp
sad,midnight,0.4319883037726844,-0.1,kilishi,nigerian_savory,spicy,chewy
excited,midnight,0.6720972021929751,0.2,akara,nigerian_fried,savory,soft
content,midnight,0.5503085778406507,0.2,cookies,nigerian_sweet,sweet,crisp
happy,afternoon,0.3788591107480708,0.2,akara,nigerian_fried,savory,soft
hungry,evening,1.0,0.3,suya,nigerian_savory,spicy,chewy
content,evening,0.05250091565921036,0.64,cheese,healthy_light,light,soft
bored,evening,0.3567221651013987,-0.3,veggies,healthy_light,light,crisp
excited,evening,0.4216192769694897,0.65,akara,nigerian_fried,savory,soft
content,midnight,0.5236089714249083,0.2,fruit,healthy_light,light,soft
sad,morning,0.7276196087582547,-0.1,granola bar,healthy_light,light,crisp
sad,evening,0.3274672050520344,-0.1,dodo ikire,nigerian_sweet,sweet,soft
happy,morning,0.5719392321617981,0.2,puff puff,nigerian_fried,sweet,soft
stressed,morning,0.6948985343644887,-0.1,ice cream,nigerian_sweet,sweet,soft
content,evening,0.637438262291222,0.2,cheese,healthy_light,light,soft
stressed,evening,0.3852178812100401,-0.77,cookies,nigerian_sweet,sweet,crisp
sad,afternoon,0.18043211395498837,-0.68,dodo ikire,nigerian_sweet,sweet,soft
tired,midnight,0.24828956713885902,-0.1,suya,nigerian_savory,spicy,chewy
sad,afternoon,0.779759881496552,-0.1,cookies,nigerian_sweet,sweet,crisp
hungry,morning,1.0,-0.3,suya,nigerian_savory,spicy,chewy
stressed,morning,0.4567236014753315,-0.96,dodo ikire,nigerian_sweet,sweet,soft
bored,midnight,0.007816677935346928,-0.3,chips,savory_snacks,savory,crisp
sad,morning,0.6596112375174671,-0.28,ice cream,nigerian_sweet,sweet,soft
stressed,afternoon,0.6404693592872663,-0.6,coconut candy,nigerian_sweet,sweet,chewy
tired,evening,0.7169770421480307,-0.1,granola bar,healthy_light,light,crisp
bored,midnight,0.6967752989968685,0.3,popcorn,savory_snacks,savory,crisp
content,evening,0.5286560946394006,0.2,granola bar,healthy_light,light,crisp
excited,evening,0.4211221287488906,0.46,chin chin,nigerian_fried,sweet,crisp
stressed,morning,0.38342314286102985,-0.1,chocolate,nigerian_sweet,sweet,soft
anxious,morning,0.6317588057139834,-0.1,pretzels,savory_snacks,savory,crisp
anxious,afternoon,0.26585170028408717,-0.1,chips,savory_snacks,savory,crisp
sad,morning,0.05775872718334068,-0.94,chocolate,nigerian_sweet,sweet,soft
nostalgic,evening,0.33272589291755267,0.69,cookies,nigerian_sweet,sweet,crisp
content,midnight,0.032087353129985986,0.73,veggies,healthy_light,light,crisp
anxious,midnight,0.48495097084893724,-0.1,crackers,savory_snacks,savory,crisp
hungry,afternoon,1.0,0.3,boli,nigerian_savory,savory,soft
tired,evening,0.1886336751673679,-0.1,granola bar,healthy_light,light,crisp
tired,afternoon,0.7771160752333117,-0.64,veggies,healthy_light,light,crisp
stressed,midnight,0.3240166392642572,-0.1,candy,nigerian_sweet,sweet,chewy
happy,morning,0.3128652293214086,0.94,puff puff,nigerian_fried,sweet,soft
bored,midnight,0.4789711840800861,-0.21,popcorn,savory_snacks,savory,crisp
nostalgic,afternoon,0.1358063240700326,0.2,cookies,nigerian_sweet,sweet,crisp
sad,midnight,0.4703074968883096,-0.1,chocolate,nigerian_sweet,sweet,soft
sad,evening,0.5891216120525125,-0.1,ice cream,nigerian_sweet,sweet,soft
content,midnight,0.6913729421393352,0.2,fruit,healthy_light,light,soft
hungry,morning,1.0,0.06,chips,savory_snacks,savory,crisp
happy,afternoon,0.1440083499781788,0.2,puff puff,nigerian_fried,sweet,soft
anxious,midnight,0.7893040983670776,-0.1,akara,nigerian_fried,savory,soft
tired,morning,0.46408978375637444,-0.49,yogurt,healthy_light,light,soft
excited,evening,0.023978871898142365,0.2,suya,nigerian_savory,spicy,chewy
anxious,afternoon,0.15067926701248116,-0.1,kuli kuli,nigerian_savory,spicy,crisp
hungry,evening,1.0,0.3,kokoro,savory_snacks,savory,crisp
anxious,afternoon,0.19531783233789943,-0.1,kokoro,savory_snacks,savory,crisp
happy,morning,0.5516214008252489,0.35,puff puff,nigerian_fried,sweet,soft
sad,morning,0.46174818936939854,-0.3,candy,nigerian_sweet,sweet,chewy
bored,morning,0.32552636857829653,0.3,pretzels,savory_snacks,savory,crisp
anxious,midnight,0.5204093182333727,-0.1,veggies,healthy_light,light,crisp
nostalgic,morning,0.6382509190869077,0.2,coconut candy,nigerian_sweet,sweet,chewy
excited,morning,0.2627049823080649,0.26,puff puff,nigerian_fried,sweet,soft
sad,morning,0.35895489809802456,-0.52,dodo ikire,nigerian_sweet,sweet,soft
happy,evening,0.13475550811417572,0.29,candy,nigerian_sweet,sweet,chewy
excited,midnight,0.4152654281089745,0.2,puff puff,nigerian_fried,sweet,soft
sad,afternoon,0.4212990378151677,-0.51,chocolate,nigerian_sweet,sweet,soft
excited,afternoon,0.5744984609811955,0.91,chin chin,nigerian_fried,sweet,crisp
happy,evening,0.05702421604413113,0.91,puff puff,nigerian_fried,sweet,soft
stressed,morning,0.28129814979170753,-0.8,dodo ikire,nigerian_sweet,sweet,soft
bored,evening,0.7436847019375914,0.06,chips,savory_snacks,savory,crisp
anxious,afternoon,0.21809920058682702,-0.17,kuli kuli,nigerian_savory,spicy,crisp
anxious,afternoon,0.6398248763392174,-0.63,kokoro,savory_snacks,savory,crisp
stressed,midnight,0.7703415001900639,-0.1,pretzels,savory_snacks,savory,crisp
happy,afternoon,0.08984347552897534,0.2,puff puff,nigerian_fried,sweet,soft
tired,afternoon,0.16963587192658133,-0.1,cheese,healthy_light,light,soft
nostalgic,midnight,0.4453096463493738,0.2,cookies,nigerian_sweet,sweet,crisp
nostalgic,evening,0.5340399194331764,0.2,chocolate,nigerian_sweet,sweet,soft
tired,evening,0.18818846784158785,-0.1,veggies,healthy_light,light,crisp
stressed,morning,0.5135772003546129,-0.1,dodo ikire,nigerian_sweet,sweet,soft
sad,morning,0.04676369128684313,-0.72,candy,nigerian_sweet,sweet,chewy
anxious,afternoon,0.34255969194049185,-0.1,kokoro,savory_snacks,savory,crisp
happy,evening,0.4825755281706978,0.2,granola bar,healthy_light,light,crisp
bored,morning,0.7153526997312947,-0.3,popcorn,savory_snacks,savory,crisp
sad,midnight,0.35392794918453563,-0.1,coconut candy,nigerian_sweet,sweet,chewy
tired,midnight,0.7040632700491667,-0.1,yogurt,healthy_light,light,soft
bored,afternoon,0.04187110062920665,-0.24,kokoro,savory_snacks,savory,crisp
sad,midnight,0.04811387408062817,-0.1,fruit,healthy_light,light,soft
anxious,morning,0.13638235053913403,-0.18,kokoro,savory_snacks,savory,crisp
happy,midnight,0.5319293795897745,0.59,yogurt,healthy_light,light,soft
sad,midnight,0.016021084740659577,-0.1,dodo ikire,nigerian_sweet,sweet,soft
anxious,midnight,0.4988685504022078,-0.82,chips,savory_snacks,savory,crisp
content,afternoon,0.12744321649518425,0.2,kuli kuli,nigerian_savory,spicy,crisp
bored,morning,0.07011419741107083,0.3,popcorn,savory_snacks,savory,crisp
sad,evening,0.7539096152817866,-0.1,cookies,nigerian_sweet,sweet,crisp
tired,midnight,0.6811399661960766,-0.58,fruit,healthy_light,light,soft
content,evening,0.5394430451272387,0.2,fruit,healthy_light,light,soft
stressed,afternoon,0.06473542644100175,-0.19,cookies,nigerian_sweet,sweet,crisp
bored,midnight,0.4584331431446795,0.3,pretzels,savory_snacks,savory,crisp
bored,evening,0.38964953505514877,0.21,popcorn,savory_snacks,savory,crisp
excited,morning,0.6601606139324545,0.33,puff puff,nigerian_fried,sweet,soft
excited,evening,0.7704920892713392,0.2,chocolate,nigerian_sweet,sweet,soft
bored,afternoon,0.7008841540784341,-0.3,chips,savory_snacks,savory,crisp
happy,afternoon,0.5201608739185227,0.2,akara,nigerian_fried,savory,soft
excited,afternoon,0.38768126961509175,0.51,chin chin,nigerian_fried,sweet,crisp
sad,morning,0.11379949494975694,-0.76,coconut candy,nigerian_sweet,sweet,chewy
anxious,midnight,0.4944413394297488,-0.1,popcorn,savory_snacks,savory,crisp
stressed,morning,0.4991166690333108,-0.1,coconut candy,nigerian_sweet,sweet,chewy
nostalgic,afternoon,0.5232606362975986,0.2,chocolate,nigerian_sweet,sweet,soft
stressed,morning,0.6154439149130719,-0.98,chocolate,nigerian_sweet,sweet,soft
happy,evening,0.46571858382397785,0.36,puff puff,nigerian_fried,sweet,soft
bored,afternoon,0.1929611660796332,0.3,kokoro,savory_snacks,savory,crisp
excited,evening,0.2126809093234508,0.29,chin chin,nigerian_fried,sweet,crisp
happy,afternoon,0.12003893175518741,0.2,chocolate,nigerian_sweet,sweet,soft
sad,midnight,0.6876521853175567,-0.22,fruit,healthy_light,light,soft
happy,midnight,0.2523255165984102,0.38,chin chin,nigerian_fried,sweet,crisp
content,afternoon,0.20244674624062764,0.56,veggies,healthy_light,light,crisp
sad,afternoon,0.5093357457337658,-0.1,puff puff,nigerian_fried,sweet,soft
stressed,midnight,0.7906202168001051,-0.11,suya,nigerian_savory,spicy,chewy
anxious,morning,0.05766746879893869,-0.86,roasted groundnuts,nigerian_savory,savory,crisp
anxious,afternoon,0.36955754933676466,-0.1,cheese,healthy_light,light,soft
content,evening,0.13928746826726748,0.2,granola bar,healthy_light,light,crisp
bored,afternoon,0.06609413076741495,0.03,kokoro,savory_snacks,savory,crisp
stressed,morning,0.30555171172231677,-0.59,candy,nigerian_sweet,sweet,chewy
content,morning,0.7678612144607433,0.2,yogurt,healthy_light,light,soft
happy,evening,0.7839762634870806,0.2,akara,nigerian_fried,savory,soft
content,midnight,0.12531074957904664,0.2,boli,nigerian_savory,savory,soft
happy,midnight,0.3456615063553568,0.2,akara,nigerian_fried,savory,soft
stressed,morning,0.5407858204690843,-0.1,roasted groundnuts,nigerian_savory,savory,crisp
anxious,afternoon,0.6890959970907489,-0.1,yogurt,healthy_light,light,soft
content,morning,0.7827178230404768,0.5,fruit,healthy_light,light,soft
happy,midnight,0.4360215351175507,0.97,fruit,healthy_light,light,soft
stressed,morning,0.5482384128926987,-0.82,pretzels,savory_snacks,savory,crisp
stressed,midnight,0.5862412358130005,-0.1,candy,nigerian_sweet,sweet,chewy
bored,evening,0.12125549727013887,-0.3,kokoro,savory_snacks,savory,crisp
sad,midnight,0.36924597953583194,-0.98,cookies,nigerian_sweet,sweet,crisp
hungry,midnight,1.0,-0.3,crackers,savory_snacks,savory,crisp
bored,morning,0.5864570368237398,0.23,plantain chips,nigerian_savory,savory,crisp
content,midnight,0.4193273365809298,0.7,cheese,healthy_light,light,soft
happy,morning,0.7664587840955042,0.2,chin chin,nigerian_fried,sweet,crisp
bored,midnight,0.40164017079075776,-0.3,crackers,savory_snacks,savory,crisp
content,afternoon,0.4744354673494273,0.2,granola bar,healthy_light,light,crisp
